Unix Timestamp,Transaction_ID,Television,Dryer,Oven,Refrigerator,Microwave,Line Voltage,Voltage,Apparent Power,Energy Consumption (kWh),Offloading Decision,Bandwidth
1577836800,1,0,0,0,1,0,237,233,1559,24,0,30741
1577841845,3,0,1,0,0,0,223,222,1684,70.46,1,44253
1577897350,25,0,1,0,0,0,233,225,1794,15.95,1,3675
1577907442,29,0,0,0,1,0,227,224,1890,59.74,0,35531
1577915010,32,0,1,0,0,0,236,228,1516,54.08,0,23428
1577925102,36,1,0,0,0,0,237,235,1615,62.43,1,41823
1577950331,46,0,0,0,1,0,237,229,1907,11.2,1,32830
1577965469,52,1,0,0,0,0,227,224,1975,83.6,1,48049
1577980607,58,0,0,0,1,0,225,225,1534,79.27,0,43233
1577993221,63,1,0,0,0,0,225,222,1657,22.88,1,30846
1578003313,67,0,0,0,1,0,237,229,1831,96.79,0,29807
1578028542,77,1,0,0,0,0,232,231,1743,49.87,1,35708
1578036111,80,0,0,0,0,1,235,228,1806,24.22,1,33436
1578079001,97,0,0,0,1,0,225,219,1534,88.66,1,15786
1578086570,100,0,1,0,0,0,223,214,1618,93.36,1,41867
1578091615,102,0,1,0,0,0,226,223,1580,31.56,1,39693
1578096661,104,0,1,0,0,0,236,234,1991,82.92,1,24029
1578104230,107,0,0,1,0,0,232,232,1895,67.39,0,23495
1578109276,109,1,0,0,0,0,238,233,1926,78.28,1,37300
1578114322,111,1,0,0,0,0,233,225,1748,28.23,0,44764
1578121891,114,1,0,0,0,0,235,227,1992,24.02,0,17861
1578137028,120,0,1,0,0,0,232,228,1614,29.64,1,48431
1578162258,130,0,0,0,1,0,228,219,1572,10.28,0,37446
1578164780,131,0,0,1,0,0,220,217,1667,86.72,1,37824
1578169826,133,0,1,0,0,0,224,215,1589,59.41,1,16148
1578179918,137,0,0,1,0,0,233,224,1834,91.93,1,11058
1578192533,142,1,0,0,0,0,229,222,1646,97.33,1,481
1578240468,161,0,0,0,0,1,228,219,1873,20.49,0,8641
1578258129,168,1,0,0,0,0,220,219,1722,70.53,1,26206
1578268221,172,1,0,0,0,0,227,227,1812,51.15,1,38701
1578283358,178,0,1,0,0,0,227,225,1786,68.62,0,37876
1578290927,181,0,1,0,0,0,227,219,1899,93.67,1,7713
1578298496,184,0,0,0,0,1,221,214,1888,19.74,1,46144
1578331294,197,0,0,1,0,0,223,219,1823,91.16,0,27367
1578336340,199,0,0,0,1,0,232,227,1620,37.79,1,44311
1578346431,203,0,0,0,0,1,230,224,1549,84.14,1,22936
1578356523,207,0,1,0,0,0,236,236,1620,86.56,0,14751
1578369138,212,1,0,0,0,0,235,231,1520,69.2,0,18249
1578374184,214,0,0,1,0,0,238,237,1972,21.68,1,25142
1578376707,215,0,1,0,0,0,230,230,1980,17.96,0,14188
1578379230,216,0,0,0,0,1,224,216,1636,86,1,30389
1578389321,220,0,0,0,1,0,236,231,1583,43.84,1,44629
1578442303,241,0,0,0,0,1,225,225,1934,21.5,0,4693
1578459963,248,0,1,0,0,0,230,227,1719,60.43,1,19870
1578517991,271,0,0,0,0,1,232,231,1915,57.1,0,29225
1578520514,272,1,0,0,0,0,232,223,1714,29.03,1,3384
1578540697,280,1,0,0,0,0,230,229,1665,55.46,1,23277
1578565926,290,0,0,0,0,1,234,233,1758,35.64,1,40262
1578568449,291,0,0,0,1,0,239,238,1627,40.39,0,7711
1578586110,298,0,1,0,0,0,238,233,1798,35.28,1,34029
1578616385,310,0,1,0,0,0,223,218,1968,73.99,0,43161
1578659275,327,0,0,0,0,1,230,227,1654,19.19,1,30744
1578661798,328,1,0,0,0,0,225,219,1889,36.71,1,1259
1578669367,331,0,0,0,1,0,229,222,1527,36.76,0,3140
1578676935,334,0,0,0,0,1,239,237,1544,95.36,0,1127
1578692073,340,0,1,0,0,0,226,226,1764,39.95,0,31069
1578729917,355,0,0,1,0,0,236,235,1802,33,0,45508
1578740009,359,0,0,0,1,0,231,224,1781,11.56,0,19753
1578742532,360,0,0,0,1,0,237,234,1908,32.12,0,31054
1578745054,361,1,0,0,0,0,227,226,1671,33.32,1,13912
1578747577,362,0,0,0,1,0,223,214,1889,71.11,0,36765
1578762715,368,1,0,0,0,0,232,223,1854,64.12,1,31804
1578767761,370,0,0,0,0,1,225,217,1804,49.63,0,35644
1578772807,372,0,0,0,1,0,230,223,1991,41.9,1,27689
1578775330,373,1,0,0,0,0,236,234,1625,81.17,0,3464
1578792990,380,0,0,0,0,1,224,217,1923,13.38,1,18499
1578803082,384,1,0,0,0,0,237,236,1655,73.76,1,30941
1578808128,386,0,0,0,0,1,236,229,1935,21.03,0,34270
1578813174,388,1,0,0,0,0,230,228,1559,11.6,0,4456
1578823265,392,0,0,0,1,0,227,223,1809,32.86,0,20542
1578896430,421,1,0,0,0,0,222,216,1774,87.78,0,23583
1578919137,430,1,0,0,0,0,234,232,1987,82.15,0,46819
1578936797,437,0,0,0,0,1,223,215,1942,46.24,1,18753
1578954458,444,0,0,0,1,0,233,230,1955,58.15,1,28753
1578956981,445,1,0,0,0,0,226,218,1979,19.16,0,25699
1578979687,454,1,0,0,0,0,236,228,1763,63.15,0,12154
1579007439,465,1,0,0,0,0,224,219,1984,65.42,1,35612
1579020054,470,0,1,0,0,0,230,229,1968,62.61,0,16956
1579027623,473,0,1,0,0,0,230,229,1547,23.44,1,37215
1579030146,474,0,1,0,0,0,230,229,1819,16.42,1,15837
1579035191,476,0,0,0,0,1,231,222,1908,17.42,0,26498
1579057898,485,0,0,1,0,0,229,221,1702,38.01,0,7671
1579060421,486,0,1,0,0,0,236,229,1881,17.12,1,44407
1579136109,516,0,1,0,0,0,220,216,1868,66.73,0,35676
1579176476,532,1,0,0,0,0,231,231,1802,22.57,1,4595
1579189090,537,0,0,0,1,0,226,217,1601,17.84,0,15473
1579191613,538,0,1,0,0,0,234,231,1502,87.26,0,41200
1579204228,543,0,0,0,0,1,228,222,1986,44.1,1,36487
1579214320,547,0,0,0,1,0,233,231,1947,60.69,0,16622
1579257209,564,0,0,0,1,0,230,221,1724,97.43,0,11788
1579267301,568,0,1,0,0,0,237,230,1655,19.45,0,6453
1579297576,580,0,0,1,0,0,220,220,1700,23.43,0,18906
1579348035,600,0,0,1,0,0,224,217,1827,90.87,1,11250
1579390925,617,0,1,0,0,0,235,232,1597,81.68,1,2877
1579413631,626,0,0,1,0,0,228,219,1746,25.05,0,3451
1579426246,631,0,0,1,0,0,221,216,1588,44.51,1,12679
1579476704,651,0,0,0,0,1,239,232,1951,30.38,1,18008
1579494365,658,0,0,0,0,1,238,237,1516,40.79,1,40832
1579522117,669,0,0,1,0,0,236,236,1642,57.01,0,622
1579524640,670,0,0,1,0,0,227,220,1617,69.58,1,5798
1579539778,676,0,1,0,0,0,220,211,1961,80.06,1,31682
1579549869,680,0,0,0,1,0,231,230,1884,86.43,0,21498
1579562484,685,1,0,0,0,0,221,220,1859,53.58,0,29292
1579565007,686,0,1,0,0,0,221,215,1552,93.41,1,2998
1579575099,690,0,0,0,1,0,235,234,1727,79.37,0,40117
1579590236,696,1,0,0,0,0,228,222,1845,40.08,0,1426
1579602851,701,1,0,0,0,0,220,220,1832,91.56,1,19270
1579615465,706,0,0,1,0,0,234,227,1734,28.19,1,23448
1579620511,708,0,0,0,1,0,228,221,1529,82.29,1,15101
1579635649,714,0,1,0,0,0,230,227,1855,46.33,0,42753
1579648264,719,0,1,0,0,0,235,231,1571,15.52,0,4477
1579655832,722,0,1,0,0,0,223,217,1668,76.1,0,4990
1579676016,730,0,0,0,0,1,231,225,1562,80.08,1,45035
1579691153,736,1,0,0,0,0,231,223,1913,25.71,0,27513
1579698722,739,0,0,1,0,0,238,229,1621,13.88,1,6654
1579708814,743,0,1,0,0,0,236,232,1801,16.77,1,47564
1579726474,750,0,0,0,1,0,220,213,1908,19.98,0,33326
1579736566,754,0,0,0,0,1,236,228,1782,66.41,1,17091
1579749181,759,0,0,1,0,0,220,211,1657,45.96,1,8814
1579774410,769,0,0,1,0,0,229,223,1605,95.68,0,43004
1579807208,782,0,1,0,0,0,220,219,1630,36,0,44660
1579809731,783,1,0,0,0,0,224,217,1698,12.61,1,6678
1579814777,785,0,0,0,0,1,235,234,1643,17.81,1,27675
1579819823,787,0,0,0,0,1,223,220,1975,19.62,1,29716
1579832437,792,1,0,0,0,0,238,234,1852,89.48,1,6003
1579850098,799,0,0,0,0,1,228,225,1769,60.35,1,16405
1579890465,815,0,0,0,1,0,222,214,1854,99.36,0,20281
1579908125,822,0,1,0,0,0,222,216,1829,99.12,1,8659
1579935878,833,0,0,0,1,0,230,230,1972,14.85,1,24839
1579940924,835,0,1,0,0,0,238,232,1943,97.63,0,40408
1579958584,842,0,1,0,0,0,229,222,1843,39.72,0,36743
1579976245,849,0,0,0,0,1,236,230,1907,76.53,1,39765
1579978767,850,1,0,0,0,0,232,229,1980,68.59,0,4404
1579983813,852,0,1,0,0,0,227,227,1722,63.92,0,9219
1580003997,860,0,0,1,0,0,235,228,1511,66.3,1,46191
1580024180,868,0,0,0,0,1,230,224,1686,56.99,0,42942
1580034272,872,1,0,0,0,0,234,226,1670,90.09,1,33791
1580036795,873,0,0,0,0,1,224,217,1635,46.8,0,9552
1580049410,878,0,1,0,0,0,222,214,1855,32.48,0,35942
1580115006,904,1,0,0,0,0,224,224,1959,93.88,0,46334
1580120052,906,0,0,0,0,1,221,212,1796,83.4,1,18292
1580130143,910,0,0,0,0,1,237,236,1626,68.77,1,17817
1580145281,916,1,0,0,0,0,221,214,1725,85.86,0,24827
1580150327,918,0,0,0,0,1,227,224,1699,34.36,0,22278
1580152850,919,0,0,0,1,0,233,228,1550,17.67,0,5565
1580157896,921,0,0,0,0,1,224,221,1849,23.36,1,1685
1580178079,929,0,0,0,1,0,236,235,1836,74.54,0,1360
1580185648,932,0,0,0,0,1,225,221,1672,78.31,1,31432
1580193217,935,0,0,0,0,1,227,223,1701,16.56,1,34458
1580200785,938,0,0,1,0,0,230,227,1730,13.35,0,40277
1580203308,939,0,0,0,0,1,225,221,1761,43.98,1,41139
1580238629,953,0,0,0,1,0,232,229,1704,54.49,0,27056
1580243675,955,1,0,0,0,0,229,220,1869,66.07,1,38147
1580251244,958,0,1,0,0,0,222,218,1629,28.38,0,17471
1580258813,961,0,0,0,1,0,225,224,1851,26.91,0,21206
1580263859,963,0,0,1,0,0,230,221,1639,80.36,1,9151
1580276473,968,1,0,0,0,0,228,224,1565,42.31,1,29148
1580278996,969,1,0,0,0,0,226,219,1511,26.38,1,30943
1580281519,970,0,1,0,0,0,232,229,1686,90.94,0,14366
1580289088,973,0,0,0,0,1,223,218,1833,51.75,1,19418
1580326932,988,0,0,0,1,0,220,214,1636,71.52,0,42210
1580390005,1013,0,1,0,0,0,233,226,1557,29.51,1,26302
1580395051,1015,0,0,0,1,0,232,228,1920,76.62,0,29738
1580397574,1016,0,0,0,0,1,234,228,1716,18.82,0,9358
1580400097,1017,0,1,0,0,0,235,234,1890,19.24,0,37559
1580415234,1023,0,0,1,0,0,222,216,1994,25.01,1,2264
1580432895,1030,0,1,0,0,0,222,215,1532,94.07,0,3253
1580468216,1044,0,0,0,1,0,221,217,1506,58.22,0,12799
1580488399,1052,0,1,0,0,0,239,232,1505,96.68,0,19186
1580493445,1054,1,0,0,0,0,235,227,1895,19.28,1,43061
1580513629,1062,1,0,0,0,0,226,225,1664,87.56,1,8257
1580526243,1067,1,0,0,0,0,220,212,1538,48.27,1,11499
1580551473,1077,0,0,1,0,0,225,220,1622,40.07,1,13840
1580604454,1098,1,0,0,0,0,229,221,1890,78.17,1,14618
1580609500,1100,1,0,0,0,0,237,232,1877,36.16,0,18451
1580619592,1104,0,1,0,0,0,223,221,1557,13.57,1,19231
1580639775,1112,0,0,0,1,0,239,231,1892,51.1,1,17427
1580649867,1116,0,0,0,0,1,226,218,1602,48.65,0,7112
1580654913,1118,0,1,0,0,0,232,227,1729,89.56,1,33139
1580695280,1134,0,0,1,0,0,235,234,1633,88.8,1,7874
1580702849,1137,0,0,0,0,1,235,227,1946,93.35,0,42118
1580717986,1143,0,0,1,0,0,230,227,1958,47.4,0,43808
1580738170,1151,1,0,0,0,0,227,226,1778,70.76,0,22001
1580745738,1154,0,0,0,1,0,237,231,1594,39.39,1,47441
1580758353,1159,0,1,0,0,0,221,221,1884,99.43,0,3023
1580803766,1177,0,0,0,0,1,225,217,1515,81.17,1,35100
1580808812,1179,0,1,0,0,0,236,230,1516,23.36,1,25570
1580904683,1217,0,1,0,0,0,233,233,1878,55.18,0,22212
1580912252,1220,1,0,0,0,0,223,217,1927,28.79,1,12751
1580957664,1238,1,0,0,0,0,237,234,1915,32.43,1,13696
1580962710,1240,0,1,0,0,0,221,213,1780,46.09,1,7133
1581003077,1256,0,0,0,1,0,230,225,1747,33.74,0,10094
1581030829,1267,1,0,0,0,0,221,216,1724,33.46,0,32478
1581033352,1268,0,0,0,0,1,221,216,1827,56.95,0,27331
1581035875,1269,0,1,0,0,0,233,230,1842,72.15,1,46656
1581058582,1278,0,0,0,0,1,221,217,1802,53.9,1,243
1581096426,1293,0,1,0,0,0,226,222,1931,73.93,1,24111
1581106517,1297,1,0,0,0,0,233,227,1970,62.16,0,10486
1581119132,1302,0,1,0,0,0,228,226,1695,78.3,0,39801
1581121655,1303,0,1,0,0,0,238,230,1807,78.94,1,30766
1581144361,1312,1,0,0,0,0,224,222,1923,99.5,0,21422
1581177159,1325,1,0,0,0,0,237,228,1554,45.09,0,6825
1581179682,1326,0,1,0,0,0,230,224,1650,96.47,1,29221
1581182205,1327,0,1,0,0,0,220,211,1713,70.3,0,22214
1581197343,1333,0,0,0,0,1,237,233,1903,43.46,1,14048
1581240233,1350,0,0,0,1,0,223,223,1708,44.37,0,4580
1581285645,1368,0,1,0,0,0,223,219,1568,89.93,0,29248
1581290691,1370,1,0,0,0,0,223,215,1754,48.24,1,44827
1581298260,1373,0,1,0,0,0,221,212,1664,30.76,0,4097
1581310875,1378,1,0,0,0,0,229,220,1719,77.6,1,31908
1581346196,1392,0,1,0,0,0,238,233,1839,79.42,1,26484
1581361333,1398,1,0,0,0,0,237,231,1971,41.76,0,33234
1581381517,1406,0,1,0,0,0,239,231,1784,17.44,0,32928
1581406746,1416,0,0,1,0,0,224,216,1707,91.77,0,41511
1581421884,1422,0,0,1,0,0,237,230,1709,91.97,0,48595
1581434498,1427,0,0,1,0,0,230,223,1717,63.52,0,37683
1581444590,1431,0,0,0,0,1,235,229,1533,38.71,0,24307
1581449636,1433,0,0,0,1,0,230,226,1762,42.42,1,36544
1581469819,1441,0,1,0,0,0,220,220,1606,84.29,1,7271
1581500095,1453,0,1,0,0,0,226,223,1730,49.76,1,5839
1581517755,1460,1,0,0,0,0,229,226,1840,38.96,1,2922
1581527847,1464,0,0,0,0,1,227,222,1803,13.03,1,8650
1581537938,1468,0,1,0,0,0,238,236,1609,62.06,1,15395
1581553076,1474,0,0,1,0,0,228,227,1810,76.69,0,5082
1581590920,1489,1,0,0,0,0,230,222,1996,17.28,0,12532
1581638856,1508,0,0,0,0,1,230,230,1524,73.03,0,32193
1581646424,1511,0,1,0,0,0,235,233,1696,83.7,0,3909
1581653993,1514,0,0,0,1,0,235,233,1546,13.93,0,35041
1581676700,1523,0,0,0,1,0,234,225,1852,14.22,0,23135
1581679223,1524,0,0,0,1,0,231,228,1802,55.62,1,39824
1581712021,1537,0,0,1,0,0,237,235,1876,58.03,1,20795
1581759956,1556,0,0,0,1,0,230,225,1542,84.19,1,38946
1581775094,1562,0,1,0,0,0,221,217,1698,82.36,0,17978
1581800323,1572,0,0,0,1,0,237,233,1501,67.46,1,1156
1581820507,1580,0,1,0,0,0,236,227,1981,14.22,1,21521
1581835644,1586,1,0,0,0,0,239,237,1650,92.32,0,15067
1581850782,1592,0,0,0,1,0,222,222,1769,74.96,1,21553
1581858351,1595,0,0,0,1,0,238,235,1699,37.65,1,47153
1581893672,1609,0,1,0,0,0,225,219,1628,17.7,0,17751
1581916378,1618,0,0,0,0,1,227,221,1882,86.96,0,42876
1581928993,1623,0,0,0,0,1,236,236,1906,35.04,0,6762
1581941607,1628,1,0,0,0,0,232,228,1952,10.4,1,3064
1581956745,1634,1,0,0,0,0,226,224,1965,50.71,0,35439
1581976928,1642,0,0,0,1,0,233,224,1614,46.43,1,36641
1582004681,1653,0,0,1,0,0,221,217,1514,46.38,1,7730
1582027387,1662,0,1,0,0,0,221,221,1635,28.1,0,41712
1582029910,1663,0,0,0,0,1,225,221,1847,26.55,1,33018
1582047570,1670,0,0,0,0,1,224,215,1527,42.64,1,48899
1582050093,1671,0,1,0,0,0,221,217,1724,78.14,1,24718
1582055139,1673,0,0,0,0,1,227,223,1745,64.29,1,9169
1582057662,1674,1,0,0,0,0,233,226,1980,31.11,0,18810
1582070277,1679,0,0,1,0,0,237,233,1735,73.82,1,4382
1582072800,1680,0,0,0,0,1,225,223,1809,10.91,1,40060
